name,lp,brand,size,price,price_per_item,in_stock,retail_price,retail_markup,order_limit,lp_cut,bcldb_cut,last_updated
ALIEN SINMINT COOKIES,Alberta Craft Cannabis,BLKMKT,1 g (Case of 30),304.20,10.14,Out of Stock,,,,258.57,45.63,2021-11-01T13:52:21-07:00
ALIEN SINMINT COOKIES,Alberta Craft Cannabis,BLKMKT,3.5 g (Case of 12),365.04,30.42,In Stock,,,,310.28,54.76,2022-03-15T16:06:10-07:00
CBD 50 PLUS FORMULA,Medipharm Labs,MediPharm Labs,28.5 g (Case of 12),435.84,36.32,In Stock,46.99,29,,370.46,65.38,2022-03-15T17:08:50-07:00
CBD 50 PLUS FORMULA,Medipharm Labs,MediPharm Labs,20 ml (Case of 12),375.00,31.25,Out of Stock,59.97,92,,318.75,56.25,2021-09-27T09:20:43-07:00
THC KISS GUAVA SHOT,THC BioMed,THC Kiss,1 x 30 ml Guava (Case of 24),69.36,2.89,In Stock,3.99,38,,58.96,10.40,2022-03-15T16:22:16-07:00
NO. 515 NOISY NEIGHBOUR,TerrAscend,Haven St.,3.5 g (Case of 24),552.00,23.0,In Stock,29.99,30,,469.20,82.80,2022-03-16T01:40:45-07:00
MONKEY GLUE,Aphria,Good Supply,28 g (Case of 12),911.88,75.99,In Stock,99.99,32,,775.10,136.78,2022-03-16T01:40:45-07:00
MONKEY GLUE,Aphria,Good Supply,3.5 g (Case of 24),364.56,15.19,Out of Stock,21.99,45,,309.88,54.68,2022-01-28T14:39:26-08:00
MAC 1 PRE ROLL,Experion,CITIZEN STASH,2 x 0.5 g (Case of 24),280.80,11.7,In Stock,14.99,28,,238.68,42.12,2022-03-16T06:10:40-07:00
REDEE OUTLAW PRE-ROLL,Redecan,Redees,10 x 0.35 g (Case of 30),362.40,12.08,In Stock,,,,308.04,54.36,2022-03-15T18:26:26-07:00
HEADBAND PRE-ROLL,Pure Sunfarms,Pure Sunfarms,3 x 0.5 g (Case of 24),134.88,5.62,In Stock,,,,114.65,20.23,2022-03-16T01:40:46-07:00
CBD 25 REGULAR FORMULA,Medipharm Labs,MediPharm Labs,20 ml (Case of 12),220.80,18.4,Out of Stock,18.97,3,,187.68,33.12,2021-07-15T01:37:00-07:00
CBD 25 REGULAR FORMULA,Medipharm Labs,MediPharm Labs,28.5 g (Case of 12),259.08,21.59,In Stock,27.99,30,,220.22,38.86,2022-03-16T01:41:45-07:00
SATIVA,Pure Sunfarms,Pure Sunfarms,28 g (Case of 6),442.14,73.69,In Stock,,,,375.82,66.32,2022-03-15T17:10:56-07:00
SATIVA,Pure Sunfarms,Pure Sunfarms,14 g (Case of 6),258.78,43.13,In Stock,,,,219.96,38.82,2022-03-16T01:40:40-07:00
YAWN DROPS,HEXO,VERYVELL,1 x 30 g  (Case of 12),295.20,24.6,In Stock,,,,250.92,44.28,2022-03-15T19:12:45-07:00
JACK HAZE PRE-ROLL,Supreme,7ACRES,2 x 0.5 g (Case of 24),200.16,8.34,In Stock,10.99,32,,170.14,30.02,2022-03-16T01:40:41-07:00
PACIFIC OG PRE-ROLL,Tantalus Labs,Tantalus Labs,3 x 0.5 g (Case of 24),251.76,10.49,In Stock,13.99,33,,214.00,37.76,2022-03-16T01:40:40-07:00
PACIFIC OG PRE-ROLL,Tantalus Labs,Tantalus Labs,7 x 0.5 g (Case of 12),199.32,16.61,Out of Stock,21.99,32,,169.42,29.90,2022-02-02T01:38:05-08:00
LIMELIGHT PRE-ROLL,Organigram,Edison,3 x 0.5 g (Case of 24),303.60,12.65,In Stock,,,,258.06,45.54,2022-03-15T19:22:01-07:00
FLICKER,Organigram,Trailblazer,3.5 g (Case of 24),331.20,13.8,In Stock,,,,281.52,49.68,2022-03-14T20:09:35-07:00
CHERRY BURST,Highland Grow,Highland Grow,3.5 g (Case of 12),277.08,23.09,Out of Stock,,,,235.52,41.56,2022-02-01T13:45:19-08:00
CHERRY BURST,Highland Grow,Highland Grow,1 g (Case of 24),222.24,9.26,In Stock,,,,188.90,33.34,2022-03-15T17:04:10-07:00
CHERRY BURST,Highland Grow,Highland Grow,14 g (Case of 6),553.80,92.3,In Stock,,,2,470.73,83.07,2022-03-16T01:43:10-07:00
WHITE LIGHTNING,Highland Grow,Highland Grow,3.5 g (Case of 12),379.08,31.59,In Stock,39.99,27,,322.22,56.86,2022-03-16T01:40:40-07:00
WHITE LIGHTNING,Highland Grow,Highland Grow,1 g (Case of 24),222.24,9.26,Out of Stock,11.99,29,,188.90,33.34,2021-08-14T01:37:35-07:00
WEDDING CAKE,WEED ME,WEED ME,1 g (Case of 24),183.60,7.65,In Stock,,,,156.06,27.54,2022-03-15T14:36:00-07:00
WEDDING CAKE,WEED ME,WEED ME,3.5 g (Case of 12),305.64,25.47,Out of Stock,,,,259.79,45.85,2021-12-10T11:14:36-08:00
DARK CHOCOLATE,Indiva,Bhang,1 x 10 g Dark Chocolate (Case of 48),132.00,2.75,In Stock,3.99,45,,112.20,19.80,2022-03-16T01:40:40-07:00
MILK CHOCOLATE,Indiva,Bhang,1 x 10 g Milk Chocolate (Case of 48),132.00,2.75,In Stock,3.99,45,,112.20,19.80,2022-03-16T01:40:40-07:00
INDICA,Pure Sunfarms,Pure Sunfarms,28 g (Case of 6),442.14,73.69,In Stock,,,,375.82,66.32,2022-03-15T17:10:56-07:00
INDICA,Pure Sunfarms,Pure Sunfarms,14 g (Case of 6),258.78,43.13,In Stock,,,,219.96,38.82,2022-03-16T01:40:40-07:00
BLUE DREAM PRE-ROLL,Peace Naturals,Spinach,3 x 0.5 g (Case of 24),242.64,10.11,In Stock,13.99,38,,206.24,36.40,2022-03-16T01:40:40-07:00
BLUE DREAM,Peace Naturals,Spinach,3.5 g (Case of 24),462.96,19.29,In Stock,,,,393.52,69.44,2022-03-15T19:22:01-07:00
JUJU POWER 510 BATTERY,Canopy Growth Corporation,JUJU Power,Black (Case of 12),209.88,17.49,Out of Stock,,,,178.40,31.48,2021-12-12T09:45:40-08:00
OS.RESERVE INDICA BLEND,HEXO,HEXO,28 g (Case of 12),800.76,66.73,Out of Stock,99.99,50,,680.65,120.11,2022-02-16T10:58:35-08:00
OS.RESERVE INDICA BLEND,HEXO,HEXO,14 g (Case of 12),520.56,43.38,In Stock,56.99,31,,442.48,78.08,2022-03-16T01:40:40-07:00
OS.RESERVE INDICA BLEND,HEXO,HEXO,7g (Case of 24),869.52,36.23,Out of Stock,47.99,32,,739.09,130.43,2021-12-14T14:24:05-08:00
OS.RESERVE INDICA BLEND,HEXO,HEXO,7 g (Case of 24),608.64,25.36,In Stock,47.99,89,,517.34,91.30,2022-03-14T21:23:35-07:00
OS.RESERVE INDICA BLEND,HEXO,HEXO,3.5 g (Case of 24),458.16,19.09,Out of Stock,24.99,31,1,389.44,68.72,2021-08-03T18:37:39-07:00
DURBAN - VAPE CARTRIDGE,HEXO,HEXO,1 x 0.5 g  (Case of 12),168.24,14.02,In Stock,,,,143.00,25.24,2022-03-14T21:08:05-07:00
FIRE OG - VAPE CARTRIDGE,HEXO,HEXO,1 x 0.5 g  (Case of 12),168.24,14.02,In Stock,,,,143.00,25.24,2022-03-16T01:40:40-07:00
DEALER'S PICK INDICA,Aphria,Good Supply,3.5 g (Case of 24),364.56,15.19,Out of Stock,,,,309.88,54.68,2021-07-16T07:53:15-07:00
DEALER'S PICK INDICA,Aphria,Good Supply,15 g (Case of 12),455.76,37.98,In Stock,,,,387.40,68.36,2022-03-15T19:22:01-07:00
DEALER'S PICK INDICA,Aphria,Good Supply,28 g (Case of 12),774.84,64.57,In Stock,,,,658.61,116.23,2022-03-16T01:40:45-07:00
DEALER'S PICK SATIVA,Aphria,Good Supply,3.5 g (Case of 24),364.56,15.19,Out of Stock,,,,309.88,54.68,2021-12-10T11:13:26-08:00
DEALER'S PICK SATIVA,Aphria,Good Supply,15 g (Case of 12),455.76,37.98,In Stock,,,,387.40,68.36,2022-03-15T01:39:50-07:00
DEALER'S PICK SATIVA,Aphria,Good Supply,28 g (Case of 12),774.84,64.57,In Stock,,,,658.61,116.23,2022-03-16T01:40:45-07:00
INDICA,Aurora,Daily Special,28 g (Case of 12),923.88,76.99,Out of Stock,,,,785.30,138.58,2022-03-08T12:29:43-08:00
INDICA,Aurora,Daily Special,15 g (Case of 12),508.08,42.34,Out of Stock,,,,431.87,76.21,2022-01-10T07:44:36-08:00
INDICA,Aurora,Daily Special,7 g (Case of 24),552.00,23.0,Out of Stock,,,,469.20,82.80,2022-03-05T23:51:04-08:00
INDICA,Aurora,Daily Special,3.5 g (Case of 24),295.68,12.32,In Stock,,,,251.33,44.35,2022-03-15T17:08:51-07:00
LEMON & LIME CBD SPARKLING BEVERAGE,Tilray Canada,Everie,1 x 269 ml Lemon & Lime (Case of 24),71.76,2.99,In Stock,,,,61.00,10.76,2022-03-14T10:55:35-07:00
TWD INDICA,Canopy Growth Corporation,TWD,3.5 g (Case of 12),175.44,14.62,Out of Stock,,,,149.12,26.32,2022-03-13T15:20:51-07:00
TWD INDICA,Canopy Growth Corporation,TWD,15 g (Case of 6),286.38,47.73,In Stock,,,,243.42,42.96,2022-03-15T16:50:10-07:00
TWD INDICA,Canopy Growth Corporation,TWD,7 g (Case of 12),304.80,25.4,In Stock,,,,259.08,45.72,2022-03-15T16:50:10-07:00
TWD INDICA,Canopy Growth Corporation,TWD,28 g (Case of 6),461.88,76.98,Out of Stock,,,,392.60,69.28,2022-03-11T18:36:50-08:00
FLICKER CARTRIDGE,Organigram,Trailblazer,"1 x 0.5 g Grape, Blueberry (Case of 12)",255.36,21.28,Out of Stock,,,,217.06,38.30,2021-09-15T10:46:06-07:00
FLICKER CARTRIDGE,Organigram,Trailblazer,"1 x 1 g Grape, Blueberry (Case of 6)",149.04,24.84,In Stock,,,,126.68,22.36,2022-03-15T12:16:26-07:00
SPARK CARTRIDGE,Organigram,Trailblazer,"1 x 0.5 g Mango, Pineapple, Tropical (Case of 12)",255.36,21.28,Out of Stock,,,,217.06,38.30,2021-09-28T11:41:40-07:00
SPARK CARTRIDGE,Organigram,Trailblazer,"1 x 1 g Mango, Pineapple, Tropical (Case of 6)",149.04,24.84,In Stock,,,,126.68,22.36,2022-03-15T14:44:10-07:00
WHITE RHINO PRE-ROLL,Pure Sunfarms,Pure Sunfarms,3 x 0.5 g (Case of 24),134.88,5.62,In Stock,9.99,78,,114.65,20.23,2022-03-16T01:40:40-07:00
PAX ERA,Pax Labs,PAX Labs,Slate (Case of 6),86.28,14.38,Out of Stock,24.99,74,,73.34,12.94,2022-03-09T01:38:05-08:00
COVE BATTERY PACK,Peace Naturals,COVE,1017904 (Case of 12),84.72,7.06,Out of Stock,,,,72.01,12.71,2022-02-14T14:22:10-08:00
SPINACH BATTERY PACK,Peace Naturals,SPINACH,1017995 (Case of 12),89.76,7.48,In Stock,9.99,34,,76.30,13.46,2022-03-16T01:40:31-07:00
CHOWIE WOWIE THC WATERMELON GUMMIES,Tilray Canada,CHOWIE WOWIE,4 x 2.5 g WATERMELON (Case of 12),43.56,3.63,In Stock,4.99,37,,37.03,6.53,2022-03-16T01:40:35-07:00
THC SOLID MILK CHOCOLATE,Tilray Canada,CHOWIE WOWIE,1 x 16 g CHOCOLATE (Case of 12),31.20,2.6,In Stock,,,,26.52,4.68,2022-03-15T18:11:45-07:00
PINEAPPLE MANGO GUMMIES,Tilray Canada,CHOWIE WOWIE,4 x 2.5 g Pineapple Mango (Case of 12),43.56,3.63,Out of Stock,4.99,37,,37.03,6.53,2022-03-16T01:40:35-07:00
LAVENDER CHAMOMILE CBD TEA 3 PACK,Tilray Canada,Everie,3 x 3 g Lavender Chamomile (Case of 24),269.04,11.21,In Stock,14.99,34,,228.68,40.36,2022-03-16T01:40:31-07:00
VANILLA ROOIBOS CBD TEA 3 PACK,Tilray Canada,Everie,3 x 3 g Vanilla Rooibos (Case of 24),269.04,11.21,In Stock,14.99,34,,228.68,40.36,2022-03-14T01:38:15-07:00
PEACH GINGER GREEN CBD TEA (DECAF) 3 PK,Tilray Canada,Everie,3 x 3 g Peach Ginger (Case of 24),269.04,11.21,In Stock,14.99,34,,228.68,40.36,2022-03-13T23:26:15-07:00
CHOCOLATE SNAX MINT BAR,Organigram,Trailblazer,"1 x 42 g Chocolate, Mint (Case of 24)",66.24,2.76,In Stock,3.99,45,,56.30,9.94,2022-03-16T01:40:31-07:00
CHOCOLATE SNAX MOCHA BAR,Organigram,Trailblazer,"1 x 42 g Chocolate, Coffee (Case of 24)",66.24,2.76,In Stock,3.99,45,,56.30,9.94,2022-03-15T15:25:55-07:00
SATIVA CARTRIDGE,Auxly Charlottetown Inc,Kolab Project,1 x 1 g  (Case of 12),405.12,33.76,In Stock,,,,344.35,60.77,2022-03-16T01:40:45-07:00
SATIVA CARTRIDGE,Auxly Charlottetown Inc,Kolab Project,1 x 0.5 g  (Case of 12),231.60,19.3,In Stock,,,,196.86,34.74,2022-03-16T01:40:35-07:00
INDICA 0.5 CARTRIDGE,Auxly Charlottetown Inc,Kolab Project,1 x 0.5 g  (Case of 12),231.60,19.3,In Stock,,,,196.86,34.74,2022-03-16T01:40:31-07:00
INDICA 0.5 VAPE CARTRIDGE,Auxly Charlottetown Inc,Foray,1 x 0.5 g  (Case of 12),198.48,16.54,In Stock,,,,168.71,29.77,2022-03-13T07:30:35-07:00
BALANCED 0.5 CARTRIDGE,Auxly Charlottetown Inc,Foray,1 x 0.5 g  (Case of 12),198.48,16.54,In Stock,,,,168.71,29.77,2022-03-15T19:22:02-07:00
BALANCED MANGO HAZE DISPOSABLE VAPE PEN,Auxly Charlottetown Inc,Foray,1 x 0.3 g  (Case of 12),140.52,11.71,In Stock,,,,119.44,21.08,2022-03-16T01:50:30-07:00
PINEAPPLE EXPRESS 510 CARTRIDGE,Aphria,Good Supply,1 x 0.5 g  (Case of 12),173.76,14.48,In Stock,,,,147.70,26.06,2022-03-16T01:40:31-07:00
PINEAPPLE EXPRESS 510 CARTRIDGE,Aphria,Good Supply,1 x 1 g  (Case of 12),314.52,26.21,In Stock,,,,267.34,47.18,2022-03-16T01:41:05-07:00
LITTLE VICTORY SPARKLING DARK CHERRY,HEXO,HEXO,1 x 355 ml Dark Cherry (Case of 12),34.32,2.86,In Stock,,,,29.17,5.15,2022-03-15T19:32:26-07:00
LITTLE VICTORY SPARKLING BLOOD ORANGE,HEXO,HEXO,1 x 355 ml Blood Orange (Case of 12),34.32,2.86,In Stock,4.99,74,,29.17,5.15,2022-03-15T19:32:26-07:00
XMG MANGO PINEAPPLE,HEXO,HEXO,1 x 236 ml Mango Pineapple (Case of 12),59.04,4.92,In Stock,6.99,42,,50.18,8.86,2022-03-16T01:50:35-07:00
XMG TROPICAL FRUIT,HEXO,HEXO,1 x 236 ml Tropical Fruit (Case of 12),59.04,4.92,In Stock,6.99,42,,50.18,8.86,2022-03-16T01:40:31-07:00
MOLLO 5,HEXO,HEXO,1 x 355 ml Malt (Case of 12),40.68,3.39,In Stock,4.49,32,,34.58,6.10,2022-03-16T01:50:35-07:00
VERYVELL LEMON BLACK ICED TEA,HEXO,HEXO,1 x 355 ml Lemon Black Iced Tea (Case of 12),21.60,1.8,In Stock,,,,18.36,3.24,2022-03-14T17:06:40-07:00
SALTED CARAMEL CHOCOLATE SQUARE,Auxly Charlottetown Inc,Foray,1 x 10 g  (Case of 12),41.28,3.44,In Stock,,,,35.09,6.19,2022-03-16T01:40:35-07:00
PEACH MANGO CHEWS 2 PC,Auxly Charlottetown Inc,Foray,2 x 5 g  (Case of 12),44.52,3.71,In Stock,,,,37.84,6.68,2022-03-16T01:50:30-07:00
BAKERSTREET & GINGER,Canopy Growth Corporation,Tweed,1 x 355 ml Bakerstreet Terpenes & Ginger Ale (Case of 12),28.80,2.4,In Stock,3.99,66,,24.48,4.32,2022-03-15T16:50:10-07:00
HOUNDSTOOTH & SODA,Canopy Growth Corporation,Tweed,1 x 355 ml Houndstooth Terpenes & Soda Water (Case of 12),28.80,2.4,In Stock,,,,24.48,4.32,2022-03-15T16:50:11-07:00
DEEP SPACE CARBONATED DRINK,Canopy Growth Corporation,DEEP SPACE,1 x 222 ml Bold & Mysterious (Case of 12),57.72,4.81,In Stock,6.99,45,,49.06,8.66,2022-03-16T01:40:31-07:00
GRAPEFRUIT SPARKLING WATER,DBA Canopy Growth,HOUSEPLANT,1 x 355 ml Grapefruit (Case of 12),36.00,3.0,Out of Stock,,,,30.60,5.40,2022-03-15T11:36:10-07:00
CUCUMBER + MINT,Canopy Growth Corporation,QUATREAU,1 x 355 ml Cucumber & Mint (Case of 12),32.40,2.7,In Stock,3.99,48,,27.54,4.86,2022-03-15T20:47:26-07:00
PASSIONFRUIT + GUAVA,Canopy Growth Corporation,QUATREAU,1 x 355 ml Passionfruit & Guava (Case of 12),32.40,2.7,In Stock,3.99,48,,27.54,4.86,2022-03-16T01:50:30-07:00
PEACH SERENE GUMMIES,Aurora,AURORA DRIFT,5 x 4.3 g PEACH (Case of 12),92.28,7.69,In Stock,9.99,30,,78.44,13.84,2022-03-15T15:25:56-07:00
GEMS 5:5,Redecan,Redecan,30 capsules (Case of 24),579.60,24.15,Out of Stock,24.97,3,,492.66,86.94,2021-04-13T14:18:24-07:00
GEMS 5:5,Redecan,Redecan,15 capsules (Case of 24),358.80,14.95,In Stock,19.99,34,,304.98,53.82,2022-03-16T01:40:45-07:00
MAC 1,Experion,CITIZEN STASH,3.5 g (Case of 12),355.44,29.62,In Stock,39.99,35,,302.12,53.32,2022-03-15T11:03:05-07:00
LEMON Z PRE-ROLL,WEED ME,WEED ME,3 x 0.5 g (Case of 24),276.00,11.5,In Stock,14.99,30,,234.60,41.40,2022-03-16T01:40:26-07:00
LIMELIGHT,Organigram,Edison,7 g (Case of 12),571.32,47.61,Out of Stock,,,,485.62,85.70,2021-07-16T10:32:43-07:00
LIMELIGHT,Organigram,Edison,3.5 g (Case of 24),518.88,21.62,Out of Stock,,,,441.05,77.83,2022-01-12T11:00:06-08:00
LIMELIGHT,Organigram,Edison,1 g (Case of 24),186.24,7.76,In Stock,,,,158.30,27.94,2022-03-15T19:32:25-07:00
JACK HAZE,Supreme,7ACRES,3.5 g (Case of 12),248.40,20.7,In Stock,,,,211.14,37.26,2022-03-15T20:47:26-07:00
"""FREE"" SOFTGEL",Aphria,Solei,15 capsules (Case of 12),127.56,10.63,In Stock,,,,108.43,19.13,2022-03-09T09:13:55-08:00
TWD SATIVA,Canopy Growth Corporation,TWD,28 g (Case of 6),461.88,76.98,In Stock,,,,392.60,69.28,2022-03-15T16:50:10-07:00
TWD SATIVA,Canopy Growth Corporation,TWD,15 g (Case of 6),286.38,47.73,In Stock,,,,243.42,42.96,2022-03-15T18:26:26-07:00
TWD SATIVA,Canopy Growth Corporation,TWD,7 g (Case of 12),304.80,25.4,In Stock,,,,259.08,45.72,2022-03-15T18:26:25-07:00
TWD SATIVA,Canopy Growth Corporation,TWD,3.5 g (Case of 12),175.44,14.62,Out of Stock,,,,149.12,26.32,2022-03-09T21:06:15-08:00
D. BUBBA,Zenabis Ltd,Namaste,7 g (Case of 12),415.56,34.63,Out of Stock,,,,353.23,62.33,2021-11-05T10:25:26-07:00
D. BUBBA,Zenabis Ltd,Namaste,3.5 g (Case of 48),904.80,18.85,Out of Stock,,,,769.08,135.72,2021-11-05T13:50:20-07:00
D. BUBBA,Zenabis Ltd,Namaste,1 g (Case of 48),276.48,5.76,In Stock,,,,235.01,41.47,2022-03-15T19:32:25-07:00
QUINTS PRE-ROLL,Tilray Canada,The Batch,5 x 0.5 g (Case of 48),656.16,13.67,In Stock,,,,557.74,98.42,2022-03-06T12:50:35-08:00
AFGHAN KUSH,Pure Sunfarms,Pure Sunfarms,28 g (Case of 6),460.02,76.67,In Stock,,,,391.02,69.00,2022-03-15T12:54:00-07:00
AFGHAN KUSH,Pure Sunfarms,Pure Sunfarms,7 g (Case of 12),323.04,26.92,Out of Stock,,,,274.58,48.46,2022-03-08T12:39:36-08:00
AFGHAN KUSH,Pure Sunfarms,Pure Sunfarms,3.5 g (Case of 24),369.12,15.38,Out of Stock,,,,313.75,55.37,2022-03-04T16:29:16-08:00
AFGHAN KUSH,Pure Sunfarms,Pure Sunfarms,1 g (Case of 24),113.76,4.74,Out of Stock,,,,96.70,17.06,2021-07-09T15:36:12-07:00
ISLAND HONEY,Pure Sunfarms,Pure Sunfarms,7 g (Case of 12),323.04,26.92,In Stock,,,,274.58,48.46,2022-03-15T19:22:02-07:00
ISLAND HONEY,Pure Sunfarms,Pure Sunfarms,3.5 g (Case of 24),369.12,15.38,In Stock,,,,313.75,55.37,2022-03-14T14:10:00-07:00
ISLAND HONEY,Pure Sunfarms,Pure Sunfarms,1 g (Case of 24),113.76,4.74,Out of Stock,,,,96.70,17.06,2021-07-09T15:35:53-07:00
ROCKSTAR KUSH,Peace Naturals,SPINACH,7 g (Case of 12),432.36,36.03,In Stock,47.99,33,,367.51,64.85,2022-03-15T13:51:31-07:00
ROCKSTAR KUSH,Peace Naturals,SPINACH,3.5 g (Case of 12),231.48,19.29,In Stock,24.99,30,,196.76,34.72,2022-03-15T15:25:55-07:00
WHITE WIDOW PRE-ROLL,Peace Naturals,Spinach,1 x 1 g (Case of 24),173.52,7.23,In Stock,,,,147.49,26.03,2022-03-15T17:08:51-07:00
ROCKSTAR KUSH PRE-ROLL,Peace Naturals,Spinach,1 x 1 g (Case of 24),173.52,7.23,In Stock,,,,147.49,26.03,2022-03-15T19:48:05-07:00
NO. 407 SAPPHIRE DAZE PRE-ROLL,TerrAscend,Haven St.,1 x 0.5 g (Case of 36),136.80,3.8,In Stock,4.99,31,,116.28,20.52,2022-03-15T19:32:26-07:00
NO. 407 SAPPHIRE DAZE PRE-ROLL,TerrAscend,Haven St.,5 x 0.5g (Case of 16),358.88,22.43,Out of Stock,29.99,34,,305.05,53.83,2020-02-10T09:04:33-08:00
SKY PILOT PRE-ROLL,Tantalus Labs,Tantalus Labs,3 x 0.5 g (Case of 24),251.76,10.49,In Stock,,,,214.00,37.76,2022-03-15T16:06:10-07:00
SATIVA PRE-ROLL,Canopy Growth Corporation,TWD,12 x 0.5 g (Case of 12),314.88,26.24,In Stock,28.77,10,,267.65,47.23,2022-03-15T19:22:01-07:00
SATIVA PRE-ROLL,Canopy Growth Corporation,TWD,1 x 1 g (Case of 48),221.28,4.61,In Stock,6.99,52,,188.09,33.19,2022-03-16T01:40:25-07:00
INDICA PRE-ROLL,Canopy Growth Corporation,TWD,12 x 0.5 g (Case of 12),314.88,26.24,In Stock,,,,267.65,47.23,2022-03-15T14:17:21-07:00
INDICA PRE-ROLL,Canopy Growth Corporation,TWD,1 x 1 g (Case of 48),221.28,4.61,In Stock,,,,188.09,33.19,2022-03-15T19:22:01-07:00
GEMS 5:0,Redecan,Redecan,15 capsules (Case of 24),189.06,7.88,In Stock,10.99,39,,160.70,28.36,2022-03-16T01:40:26-07:00
PEDRO'S SWEET SATIVA,WeedMD,Color Cannabis,3.5 g (Case of 18),340.02,18.89,In Stock,,,,289.02,51.00,2022-03-15T16:50:10-07:00
MANGO HAZE,WeedMD,Color Cannabis,3.5 g (Case of 18),340.02,18.89,In Stock,,,,289.02,51.00,2022-03-16T01:40:26-07:00
CANACA 19 PRE-ROLL,Tilray Canada,Canaca,3 x 0.5 g (Case of 48),437.28,9.11,In Stock,,,,371.69,65.59,2022-03-14T21:50:35-07:00
OKANAGAN GROWN ULTRA SOUR,Tweed,DOJA,1 g (Case of 24),172.56,7.19,Out of Stock,8.99,25,,146.68,25.88,2021-08-31T16:23:57-07:00
OKANAGAN GROWN ULTRA SOUR,Tweed,DOJA,3.5 g (Case of 12),332.88,27.74,In Stock,36.99,33,,282.95,49.93,2022-03-16T01:40:26-07:00
OKANAGAN GROWN ULTRA SOUR,Tweed,DOJA,7 g (Case of 12),538.08,44.84,Out of Stock,57.99,29,,457.37,80.71,2021-08-31T16:26:34-07:00
JEAN GUY,Aphria,Good Supply,28 g (Case of 12),911.88,75.99,In Stock,,,,775.10,136.78,2022-03-16T01:40:45-07:00
JEAN GUY,Aphria,Good Supply,3.5 g (Case of 24),364.56,15.19,Out of Stock,,,,309.88,54.68,2022-01-28T14:39:10-08:00
JEAN GUY,Aphria,Good Supply,1 g (Case of 48),254.88,5.31,Out of Stock,,,,216.65,38.23,2021-07-09T15:18:30-07:00
BALANCE,Aphria,Solei,3.5 g (Case of 24),401.04,16.71,In Stock,,,,340.88,60.16,2022-03-15T12:32:46-07:00
BALANCE,Aphria,Solei,1 g (Case of 48),254.88,5.31,Out of Stock,,,,216.65,38.23,2021-12-10T11:09:39-08:00
FROST MONSTER,Broken Coast Cannabis,Broken Coast Cannabis,7 g (Case of 12),748.65,62.39,Out of Stock,74.97,20,,636.35,112.30,2021-07-09T10:13:21-07:00
FROST MONSTER,Broken Coast Cannabis,Broken Coast Cannabis,3.5 g (Case of 12),338.16,28.18,In Stock,36.99,31,,287.44,50.72,2022-03-16T01:40:20-07:00
FROST MONSTER,Broken Coast Cannabis,Broken Coast Cannabis,1 g (Case of 24),248.40,10.35,Out of Stock,10.99,6,,211.14,37.26,2022-01-27T15:18:33-08:00
FROST MONSTER,Broken Coast Cannabis,Broken Coast Cannabis,28 g (Case of 2),304.00,152.0,Out of Stock,199.99,32,3,258.40,45.60,2022-03-12T11:42:45-08:00
ROLLING TRAY - SMALL,HBI Canada,RAW,1007046 - ROLLING TRAY - SMALL (Case of 10),37.00,3.7,In Stock,,,,31.45,5.55,2022-03-10T16:55:11-08:00
REIGN DROPS 30:0,Redecan,Redecan,30 ml (Case of 24),552.00,23.0,In Stock,34.99,52,,469.20,82.80,2022-03-16T01:40:35-07:00
REIGN DROPS 30:0,Redecan,Redecan,40 ml (Case of 24),800.40,33.35,Out of Stock,42.99,29,,680.34,120.06,2021-10-28T16:27:36-07:00
PINK KUSH,Canna Farms,Canna Farms,3.5 g (Case of 12),350.52,29.21,In Stock,,,,297.94,52.58,2022-03-03T01:37:35-08:00
PINK KUSH,Canna Farms,Canna Farms,28 g (Case of 6),646.02,107.67,In Stock,,,,549.12,96.90,2022-03-15T19:22:01-07:00
THC SATIVA LANDRACE,THC BioMed,THC BioMed,7 g (Case of 12),295.56,24.63,In Stock,31.99,30,,251.23,44.33,2022-03-16T01:40:10-07:00
THC SATIVA LANDRACE,THC BioMed,THC BioMed,3.5 g (Case of 12),175.44,14.62,Out of Stock,16.99,16,,149.12,26.32,2021-11-04T08:18:37-07:00
THC SATIVA LANDRACE,THC BioMed,THC BioMed,1 g (Case of 48),231.84,4.83,Out of Stock,6.99,45,,197.06,34.78,2021-11-04T08:18:58-07:00
BALANCE OIL,Aphria,Solei,30 ml (Case of 12),121.08,10.09,In Stock,14.99,49,,102.92,18.16,2022-03-16T01:40:10-07:00
THC CBD INDICA,THC BioMed,THC BioMed,1 g (Case of 48),231.84,4.83,Out of Stock,6.99,45,,197.06,34.78,2021-12-17T13:55:45-08:00
THC CBD INDICA,THC BioMed,THC BioMed,3.5 g (Case of 12),175.44,14.62,In Stock,19.99,37,,149.12,26.32,2022-03-16T01:40:10-07:00
THC CBD INDICA,THC BioMed,THC BioMed,7 g (Case of 12),295.56,24.63,In Stock,31.99,30,,251.23,44.33,2022-03-15T09:46:01-07:00
DIESEL,Peace Naturals,Spinach,3.5 g (Case of 24),462.96,19.29,In Stock,,,,393.52,69.44,2022-03-10T10:39:55-08:00
DIESEL,Peace Naturals,Spinach,7 g (Case of 12),432.36,36.03,In Stock,,,,367.51,64.85,2022-03-15T17:08:51-07:00
ULTRA SOUR,Zenabis Ltd,Namaste,7 g (Case of 12),415.56,34.63,Out of Stock,,,,353.23,62.33,2022-01-20T14:36:36-08:00
